Depth,Day,Mesocosm,Chloro,Dino,Diat,Crypto,Synechococcus,Prym,Pelago
1,10,5,1267.74585,633.4598999,440.7817688,151.570282,0,10.49987125,55.17282486
2,10,5,57.09030914,5.157168388,369.440094,50.07543182,40.66789627,0,58.68496323
1,10,6,1183.289917,636.9935303,795.9943848,221.5569,0,14.72094727,100.6654282
2,10,6,67.79650116,4.551568508,382.7811279,61.55593872,31.62055206,0,60.08411789
1,10,7,292.9837341,1144.889038,970.0196533,155.2042999,0,6.880235195,119.5457077
2,10,7,0,0,705.5026855,2.352875471,11.60500145,0,47.14836121
1,10,8,1237.914063,828.6960449,649.3289185,156.9120483,0,16.46963882,68.52118683
2,10,8,31.04200172,3.775823832,630.890686,64.82546997,39.04783249,0,72.97227478
1,12,5,2965.74585,985.3809204,1128.442749,222.4420776,0,0,204.3115387
2,12,5,268.0966492,105.9225922,244.5986786,72.85771179,40.96988297,0,50.9646759
1,12,6,2719.979248,858.8493042,2064.61377,370.1828918,0,41.2987175,369.5727234
2,12,6,270.1079712,100.091835,447.3992004,126.6431198,88.20787048,0,112.2269821
1,12,7,480.0042114,1988.590332,2883.182129,365.3796082,21.41234016,3.110856295,404.2507019
2,12,7,78.00361633,173.3363342,1084.435547,88.78853607,113.7891769,0,96.95343018
1,12,8,2018.252686,949.9922485,1192.615112,181.4903564,0,0.189435706,206.5335846
2,12,8,168.4997864,132.7601318,294.3727722,69.65576935,71.94010162,0,65.16789246
1,14,5,2198.919189,1577.211792,1530.454468,494.2225342,0,56.23583984,234.5389709
2,14,5,300.9120789,67.4818573,199.4546051,63.14157486,0,5.500439167,27.50205612
1,14,6,1770.154541,1561.612671,2769.615234,762.651001,0,269.8591919,441.5336609
2,14,6,317.317749,78.82735443,322.0955811,138.3596497,4.918526649,18.62037086,58.32577515
1,14,7,880.5153198,3571.36084,3848.48877,521.6937256,0,51.73452759,614.0246582
2,14,7,92.52818298,218.5517883,604.0284424,129.5831909,54.86580658,5.259525776,80.62039185
1,14,8,1342.795166,1996.027344,1842.078125,559.604126,0,43.02002716,307.45578
2,14,8,147.7267914,106.8376694,304.5649414,83.7870636,25.58135605,7.231897354,34.89973068
1,16,5,290.5514221,2764.085693,463.1823425,457.8389587,39.51126862,50.75880814,64.56723022
2,16,5,63.41077423,150.2832489,66.76943207,90.15039063,21.06776047,0.551609576,21.06501198
1,16,6,281.5822144,2031.61853,907.4587402,953.2163696,54.36889267,106.1899109,131.78685
2,16,6,76.82496643,63.58068085,68.54525757,126.7466049,18.05934906,5.024835587,30.46727753
1,16,7,572.0916748,7181.42334,1045.941406,447.8389282,32.70801544,100.2870483,147.3581543
2,16,7,70.14813232,398.085022,118.2667847,116.2068176,24.85068512,0,42.98422241
1,16,8,327.1088562,2703.295654,734.3796997,303.9599609,15.91135693,25.83360672,109.5891266
2,16,8,48.11470032,349.677948,97.29510498,67.87109375,26.872612,0,25.2036171
1,18,5,489.0141907,4824.012695,200.1298065,499.8299255,0,41.84783936,15.95498371
2,18,5,58.13059998,374.4587402,26.73009872,73.49057007,9.415150642,3.858547926,11.02810669
1,18,6,391.0439148,3363.687988,359.662262,1097.078613,0,48.98809814,67.75335693
2,18,6,48.80691528,162.6748199,42.17624283,193.9976501,7.012558937,0.745283186,22.07650757
1,18,7,522.4497681,8435.517578,293.9549866,353.2176208,0,64.25848389,32.44187927
2,18,7,62.21794891,1637.871582,85.39956665,109.8045044,16.55740547,4.021440506,26.15312195
1,18,8,705.8721313,3942.761719,269.0629272,390.9866638,0,39.84606934,43.87681961
2,18,8,54.01711273,1369.18042,91.23432159,77.14691162,15.31188965,2.763059378,11.77490902
1,20,5,663.6270142,7015.834961,182.7057953,575.3434448,0,30.77594948,19.56172371
2,20,5,158.5555267,787.6432495,0.939661682,122.8321381,0,3.818132877,11.56365776
1,20,6,587.2189941,6311.342285,226.2239075,764.5249634,0,15.86766434,35.08209991
2,20,6,49.04444504,284.6946106,4.648952007,182.1815033,0,0,14.66285706
1,20,7,628.4107056,12876.87695,171.309433,222.2383423,0,51.89077759,63.71190262
2,20,7,58.15387344,501.6109314,16.75759697,95.0293045,0,3.246762514,18.71316338
1,20,8,603.5333862,6640.686523,272.0605164,339.6082458,0,49.8841095,46.24007797
2,20,8,203.3818359,358.2416687,4.749434471,92.33466339,0,3.486441612,13.83820629
1,24,5,343.8603516,6791.739746,330.1687012,239.6615906,0,16.3363781,20.41737366
2,24,5,240.426239,266.9633484,32.36980438,101.8580856,0,0,8.376371384
1,24,6,397.7879333,10345.98633,204.535614,181.8781433,0,6.826515198,41.28649521
2,24,6,233.4859467,508.7036133,18.62410545,138.5789795,0,0,10.98467541
1,24,7,102.0446701,8008.642578,205.3801422,214.0285187,0,67.97407532,39.63407898
2,24,7,40.17667389,63.373909,6.10627079,20.40457344,0,0.407766014,0.325204849
1,24,8,347.4101257,5941.552246,298.8901978,405.2829895,0,23.57830429,37.94624329
2,24,8,201.1831055,178.4648132,29.7326107,92.36118317,0,0,11.00846291
1,38,5,168.503891,4750.557129,1268.267944,150.6122894,34.32065201,30.36883163,36.13098145
2,38,5,95.22426605,875.7090454,738.3284912,90.48326111,96.14103699,4.184114456,18.54914665
1,38,6,310.3669128,4995.532715,284.0220032,143.4451752,0,18.554245,16.69448853
2,38,6,174.9718323,910.6351929,273.3485107,104.7327118,0,4.680818081,9.949185371
1,38,7,379.7471313,4341.948242,1969.831787,293.7610168,25.66092491,87.21006012,49.7238121
2,38,7,180.8457336,389.7892761,818.7682495,125.7906952,47.37624741,12.79099464,18.28123093
1,38,8,669.1502075,3218.737061,2435.148193,200.6804047,0,63.24375534,29.61015129
2,38,8,152.9422455,460.6243286,617.9002686,90.32347107,46.15223694,15.71545982,6.861356735
1,50,5,1014.25531,21400.44141,554.0807495,568.6708984,155.3988495,24.92144585,49.59371948
2,50,5,201.845871,1667.966919,475.5163574,101.6298904,105.6724472,27.54690742,9.038636208
1,50,6,1040.843384,21262.30273,554.2913818,901.2661133,150.539444,27.6842823,42.7478714
2,50,6,116.0873947,651.8824463,377.5010376,100.4670029,208.8040466,5.89938879,19.15881538
1,50,7,98.9232254,45649.15234,662.4435425,661.9587402,193.2913513,22.76509476,34.17527008
2,50,7,119.5844116,9903.641602,707.1260986,376.4337463,134.5262604,30.52010536,10.91764355
1,50,8,116.7629776,8011.884766,222.2881775,136.7970886,88.96893311,17.04411125,12.4656601
2,50,8,92.14548492,2194.414795,322.8492737,75.69359589,81.57820892,44.93156052,22.24069214
